operation_cost_cny,battery_degradation_cost_cny,ev_degradation_cost_cny,total_degradation_cost_cny,carbon_trading_cost_cny,total_comprehensive_cost_cny,total_carbon_kg,grid_import_energy_kwh,peak_grid_import_kw,pv_consumption_rate,battery_throughput_kwh,ev_charge_kwh,ev_discharge_kwh,ev_throughput_kwh,ev_shortfall_kwh,load_shift_down_kwh,load_shed_kwh,carbon_cap_kg,carbon_price_cny_per_kg,carbon_cap,carbon_shadow_price_cny_per_kg
64507.400796386886,765.2526315789476,264.314372390928,1029.5670039698755,0.0,65536.96780035677,34357.192759728074,54848.47424070387,1031.424007386888,1.0,13913.684210526319,2603.0789473684213,453.70812500000005,3056.7870723684214,23.26249999999999,6999.987999999999,9949.448,34357.192759728045,0.0,34357.192759728045,1350.3783783783783
54084.885116764424,712.3831578947367,255.4193087396122,967.8024666343489,0.0,55052.68758339877,35232.762154653756,54958.35093691488,487.9468956323288,1.0,12952.421052631575,2550.975761772853,406.68500000000006,2957.6607617728528,23.26249999999999,4623.265946920434,9648.553598270053,35232.76215465372,0.0,35232.76215465372,3.8507462686567164
51005.1792225115,712.3831578947367,257.86300806613576,970.2461659608724,-0.0,51975.42538847237,36108.33154957938,56117.596117633984,496.20285637785025,1.0,12952.421052631576,2564.559556786704,418.94437500000004,2983.503931786704,23.26249999999999,4309.34614362215,8477.641571811075,36108.331549579394,0.0,36108.331549579394,3.055555555555555
49178.81347794279,702.540102472299,260.8257565599031,963.3658590322021,0.0,50142.179336974994,36983.900944505076,56709.944249684966,497.33800303588174,1.0,12773.456408587255,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,4004.841495446177,7862.621365520681,36983.90094450507,0.0,36983.90094450507,1.5669515669515672
47982.58235119982,702.5401024722993,260.8257565599031,963.3658590322024,0.0,48945.94821023202,37859.47033943076,58088.987807167054,499.90025614755774,1.0,12773.456408587259,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,3721.1725312058716,6464.124068623263,37859.47033943074,0.0,37859.47033943074,1.256281407035176
46973.55633852538,708.3520924099723,260.8257565599031,969.1778489698754,0.0,47942.734187495254,38735.03973435647,59345.81039733402,516.0284568960865,1.0,12879.128952908588,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,3821.176469378846,5215.033958198902,38735.039734356425,0.0,38735.039734356425,1.0545454545454545
46131.47228937675,708.352092409972,260.8257565599031,969.1778489698751,0.0,47100.650138346624,39610.60912928213,60718.58259586514,524.807391029364,1.0,12879.12895290858,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,3920.299248380694,3845.187392561197,39610.6091292821,0.0,39610.6091292821,0.8713251895926626
45407.7634821316,709.6005540166207,260.8257565599031,970.4263105765237,0.0,46378.18979270813,40486.178524207826,62037.97916696636,547.5578533097454,1.0,12901.828254847649,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,3976.353231903314,2529.830550173492,40486.178524207775,0.0,40486.178524207775,0.7551201102242027
44812.049889719005,709.6005540166207,260.8257565599031,970.4263105765237,0.0,45782.47620029553,41361.74791913347,63261.5462467469,564.6727261278199,1.0,12901.828254847649,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,4410.90352347575,1331.694356967012,41361.74791913345,0.0,41361.74791913345,0.604133545310016
44485.20417546461,712.3831578947371,260.8257565599031,973.2089144546402,0.0,45458.41308991925,42237.31731405914,63990.37796314141,607.5496351127823,1.0,12952.421052631584,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,5649.375899185472,693.4075,42237.317314059124,0.0,42237.317314059124,0.0
