operation_cost_cny,battery_degradation_cost_cny,ev_degradation_cost_cny,total_degradation_cost_cny,carbon_trading_cost_cny,total_comprehensive_cost_cny,total_carbon_kg,grid_import_energy_kwh,peak_grid_import_kw,pv_consumption_rate,battery_throughput_kwh,ev_charge_kwh,ev_discharge_kwh,ev_throughput_kwh,ev_shortfall_kwh,load_shift_down_kwh,load_shed_kwh,carbon_cap_kg,carbon_price_cny_per_kg,scenario_label,carbon_shadow_price_cny_per_kg
46424.842414295104,708.3520924099721,260.8257565599031,969.1778489698752,-0.0,47394.02026326498,39280.70510207494,60210.50098782795,522.0218424740817,1.0,12879.128952908584,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,3988.3672343196067,4357.408746123165,39280.705102074986,0.0,碳价 0 元/吨,0.9167842031029618
46424.84241429511,708.3520924099721,260.8257565599031,969.1778489698752,-4.365574568510056e-12,47394.02026326498,39280.70510207494,60210.500987827945,522.0218424740817,1.0,12879.128952908584,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,3988.3672343196085,4357.40874612317,39280.705102074986,0.1,碳价 100 元/吨,0.8167842031029618
46424.84241429511,708.3520924099721,260.8257565599031,969.1778489698752,-1.5279510989785195e-11,47394.020263264974,39280.705102074935,60210.500987827945,522.0218424740817,1.0,12879.128952908584,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,3988.3672343196067,4357.408746123171,39280.705102074986,0.3,碳价 300 元/吨,0.6167842031029618
46424.842414295104,708.352092409972,260.8257565599031,969.1778489698751,-2.1827872842550278e-11,47394.02026326496,39280.70510207494,60210.50098782795,522.0218424740817,1.0,12879.128952908583,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,3988.3672343196076,4357.408746123165,39280.705102074986,0.5,碳价 500 元/吨,0.41678420310296177
