operation_cost_cny,battery_degradation_cost_cny,ev_degradation_cost_cny,total_degradation_cost_cny,carbon_trading_cost_cny,total_comprehensive_cost_cny,total_carbon_kg,grid_import_energy_kwh,peak_grid_import_kw,pv_consumption_rate,battery_throughput_kwh,ev_charge_kwh,ev_discharge_kwh,ev_throughput_kwh,ev_shortfall_kwh,load_shift_down_kwh,load_shed_kwh,carbon_cap_kg,carbon_price_cny_per_kg,scenario_label
44485.20417546461,712.383157894737,260.8257565599031,973.2089144546401,0.0,45458.41308991925,42237.317314059124,63990.3779631414,607.5496351127822,1.0,12952.421052631582,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,5649.37589918547,693.4075,,0.0,无碳成本
44485.528408942395,712.383157894737,260.8257565599031,973.2089144546401,4212.622942314236,49671.36026571127,42126.22942314236,63986.44749223915,605.6602079699251,1.0,12952.421052631582,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,5600.402410087724,693.4075,,0.1,低碳价 100
44495.341536375665,712.3831578947369,260.8257565599031,973.20891445464,12623.988590243123,58092.539041073425,42079.96196747708,63972.55381592336,597.5269368421057,1.0,12952.42105263158,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,5402.900329824563,693.4075,,0.3,中碳价 300
44649.025394849436,709.6005540166202,260.8257565599031,970.4263105765233,20825.38854096406,66444.84024639003,41650.77708192812,63526.83411112412,579.8505158641672,1.0,12901.82825484764,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,4771.1670347591025,1093.4075,,0.5,高碳价 500
