operation_cost_cny,battery_degradation_cost_cny,ev_degradation_cost_cny,total_degradation_cost_cny,carbon_trading_cost_cny,total_comprehensive_cost_cny,total_carbon_kg,grid_import_energy_kwh,peak_grid_import_kw,pv_consumption_rate,battery_throughput_kwh,ev_charge_kwh,ev_discharge_kwh,ev_throughput_kwh,ev_shortfall_kwh,load_shift_down_kwh,load_shed_kwh,carbon_cap_kg,carbon_price_cny_per_kg,scenario_label
44485.20417546461,712.383157894737,260.8257565599031,973.2089144546401,0.0,45458.41308991925,42237.317314059124,63990.3779631414,607.5496351127822,1.0,12952.421052631582,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,5649.37589918547,693.4075,,0.0,无约束
44485.20417546462,712.383157894737,260.8257565599031,973.2089144546401,-0.0,45458.41308991926,42237.66246458802,63990.37796314141,607.5496351127823,1.0,12952.421052631582,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,5649.37589918547,693.4075,44349.18317976208,0.0,宽松
44485.20417546461,712.3831578947371,260.8257565599031,973.2089144546402,0.0,45458.41308991925,42237.31731405914,63990.37796314141,607.5496351127823,1.0,12952.421052631584,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,5649.375899185472,693.4075,42237.317314059124,0.0,基准
46424.842414295104,708.3520924099721,260.8257565599031,969.1778489698752,-0.0,47394.02026326498,39280.70510207494,60210.50098782795,522.0218424740817,1.0,12879.128952908584,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,3988.3672343196067,4357.408746123165,39280.705102074986,0.0,严格
50435.773862405855,702.5401024722988,260.44209451004156,962.9821969823404,0.0,51398.75605938819,36324.09289009086,56216.15870584414,496.142659516031,1.0,12773.456408587252,2579.204293628809,432.16125,3011.365543628809,23.26249999999999,4174.893113399298,8366.287926934636,36324.09289009085,0.0,极严
