scheme,label,operation_cost_cny,battery_degradation_cost_cny,ev_degradation_cost_cny,total_degradation_cost_cny,total_comprehensive_cost_cny,grid_import_energy_kwh,grid_export_energy_kwh,peak_grid_import_kw,pv_consumption_rate,battery_throughput_kwh,ev_charge_kwh,ev_discharge_kwh,ev_throughput_kwh,ev_shortfall_kwh,load_shift_down_kwh,load_shed_kwh,unmet_load_kwh,delta_vs_S3_operation_cost_cny,delta_vs_S3_battery_degradation_cost_cny,delta_vs_S3_ev_degradation_cost_cny,delta_vs_S3_total_degradation_cost_cny,delta_vs_S3_total_comprehensive_cost_cny,delta_vs_S3_grid_import_energy_kwh,delta_vs_S3_grid_export_energy_kwh,delta_vs_S3_peak_grid_import_kw,delta_vs_S3_pv_consumption_rate,delta_vs_S3_battery_throughput_kwh,delta_vs_S3_ev_charge_kwh,delta_vs_S3_ev_discharge_kwh,delta_vs_S3_ev_throughput_kwh,delta_vs_S3_ev_shortfall_kwh,delta_vs_S3_load_shift_down_kwh,delta_vs_S3_load_shed_kwh,delta_vs_S3_unmet_load_kwh
S3_full_coordination,S3 未考虑寿命损耗,44474.64036576932,712.383157894737,288.2462694742932,1000.6294273690302,45475.26979313835,64007.529860648334,0.0,607.5496351127822,1.0,12952.421052631582,2757.0602493074794,592.67625,3349.7364993074793,23.26249999999999,5649.37589918547,693.4075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4_degradation_aware,S4 考虑寿命损耗,44485.20417546461,712.383157894737,260.8257565599031,973.2089144546401,45458.41308991925,63990.3779631414,0.0,607.5496351127822,1.0,12952.421052631582,2581.1433518005542,433.91125,3015.0546018005543,23.26249999999999,5649.37589918547,693.4075,0.0,10.56380969528982,0.0,-27.420512914390088,-27.420512914390088,-16.856703219098563,-17.151897506933892,0.0,0.0,0.0,0.0,-175.91689750692512,-158.765,-334.681897506925,0.0,0.0,0.0,0.0
