scope,battery_discharge_kwh,ev_discharge_kwh,battery_share,ev_share
all_week,6384.000000000002,562.245,0.9190577067178023,0.08094229328219778
grid_limited_periods,600.0,124.515,0.8281402041365603,0.1718597958634397
native_load_top10pct,375.0,242.63499999999993,0.6071547111157884,0.39284528888421144
